DISTANCE MATRIX OF VARIOUS DEMAND REGIONS BETWEEN EACH OTHER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bihar,Jharkhand,Orissa,WB,Assam,Arunachal,Tripura,Manipur,Nagaland,Meghalaya,Delhi,Haryana,HP,Punjab,Chandigarh,Rajasthan,UP,Uttarakhand,AP,Kerala,Karnataka,TN,Pondicherry,Gujarat,Maharashtra,Goa,MP,Chattisgarh,Daman&diu,D&N haveli
Bihar,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jharkhand,252.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
orissa,708,482,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
WB,453.08,336,496,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Assam,1039.9,1235,1550,1070,0,,,,,,,,,,,,,,,,,,,,,,,,,
Arunachal,1442.4,1637,1953,1472,572,0,,,,,,,,,,,,,,,,,,,,,,,,
Tripura,1341.9,1537,1852,1372,458,987,0,,,,,,,,,,,,,,,,,,,,,,,
Manipur,1365.4,1560,1876,1395,341,814,470,0,,,,,,,,,,,,,,,,,,,,,,
Nagaland,1281.6,1477,1792,1312,365,565,779,320,0,,,,,,,,,,,,,,,,,,,,,
Meghalaya,941,1136,1451,971,319,785,456,646,595,0,,,,,,,,,,,,,,,,,,,,
Delhi,1097,1191,1487,1392,2099,2493,2392,2425,2332,1990,0,,,,,,,,,,,,,,,,,,,
Haryana,1235,1329,1625,1530,2237,2631,2531,2565,2470,2129,137,0,,,,,,,,,,,,,,,,,,
HP,1584,1678,1974,1879,2396,2790,2689,2723,2629,2288,496,462,0,,,,,,,,,,,,,,,,,
Punjab,1474,1568,1864,1769,2286,2680,2579,2613,2519,2178,403,292,320,0,,,,,,,,,,,,,,,,
Chandigarh,1345,1438,1735,1639,2157,2551,2450,2484,2390,2049,257,234,236,160,0,,,,,,,,,,,,,,,
Rajasthan,1378,1471,1768,1672,2380,2774,2673,2707,2613,2272,421,352,778,573,563,0,,,,,,,,,,,,,,
UP,798,891,1187,1092,1621,2014,1914,1948,1853,1513,398,514,818,705,579,728,0,,,,,,,,,,,,,
Uttarakhand,1199,1292,1594,1494,1991,2394,2293,2317,2233,1892,354,453,584,521,377,766,436,0,,,,,,,,,,,,
AP,1371,1186,943,1300,2419,2813,2713,2747,2652,2311,1645,1784,2143,2049,1903,1613,1529,1931,0,,,,,,,,,,,
Kerala,2429,2244,1868,2225,3344,3738,3637,3671,3577,3236,2467,2611,3038,2848,2815,2364,2374,2776,1099,0,,,,,,,,,,
Karnataka,2030,1869,1553,1910,3006,3399,3299,3333,3238,2898,1856,1899,2326,2136,2103,1580,1888,2209,643,667,0,,,,,,,,,
TN,2175,1991,1614,1972,3091,3485,3384,3418,3324,2983,2428,2758,2926,2887,2687,2403,2313,2714,846,304,706,0,,,,,,,,
Pondicherry,2035,1850,1474,1831,2951,3344,3244,3278,3183,2843,2309,2541,2808,2777,2568,2222,2194,2595,705,475,709,176,0,,,,,,,
Gujarat,1904,1998,1884,2199,2907,3300,3200,3234,3139,2799,1122,1164,1591,1299,1368,810,1361,1474,1546,1923,1317,1977,1968,0,,,,,,
Maharashtra,1549,1388,1203,1580,2494,2887,2787,2821,2727,2386,1305,1347,1774,1584,1551,1029,1207,1657,745,1253,578,1307,1333,835,0,,,,,
Goa,2105,1944,1759,2136,3058,3452,3351,3385,3291,2950,1917,1960,2386,2197,2164,1713,1874,2270,851,673,224,884,875,1271,662,0,,,,
MP,909,938,915,1204,1912,2305,2205,2239,2144,1804,786,909,1284,1190,1045,787,674,1075,938,1781,1294,1734,1608,927,641,1273,0,,,
Chattisgarh,781,619,434,812,1822,2216,2115,2149,2055,1714,1227,1366,1725,1631,1486,1304,960,1361,707,1764,1277,1490,1351,1459,778,1329,522,0,,
daman&diu,1751,1726,1541,1919,2754,3147,3047,3081,2986,2645,1278,1320,1747,1557,1524,966,1517,1630,1073,1414,808,1468,1459,521,406,762,866,1117,0,
D&N Haveli,1776,1751,1566,1943,2778,3172,3071,3105,3011,2670,1303,1345,1772,1582,1549,990,1542,1655,1050,1390,784,1444,1435,546,401,738,891,1142,38,0
